id_staz,lat,lon,quota,dataset,nome
H03726,44.81052,12.12128,1.0,icirfe,Campello
H03727,44.86898,11.85792,1.0,icirfe,Chiavica Ruffa
H03728,44.93223,11.89685,1.0,icirfe,Cipriano
H03730,44.81420,12.24842,3.0,icirfe,Giralda
H03731,44.91465,11.49623,6.0,icirfe,La Valletta
H03734,44.88506,11.59973,5.0,icirfe,Nicolino
H03735,44.83853,11.92089,1.0,icirfe,Pioppo
H03737,44.86397,12.13043,1.0,icirfe,Ponte Prati
H03741,44.88678,12.21043,1.0,icirfe,Vallona Nuova
H11255,44.75510,09.38369,272.0,idrtl9,Bobbio
H11258,44.47563,11.28110,63.0,idrtl9,Casalecchio canale
H11267,44.71211,09.56966,436.0,idrtl9,Farini
H11268,44.48728,10.09950,544.0,idrtl9,Corniglio
H11269,45.04561,10.75911,29.0,idrtl9,Borgoforte
H11272,44.90633,10.55893,30.0,idrtl9,Boretto
H11273,44.43329,10.65365,247.0,idrtl9,Lugo
H11275,44.35660,10.92266,226.0,idrtl9,Ponte Samone
H11278,45.06052,09.70554,55.0,idrtl9,Piacenza
H11281,44.88830,11.60807,8.0,idrtl9,Pontelagoscuro
H11283,45.12835,09.99484,45.0,idrtl9,Cremona SIAP
H11316,44.49342,10.32998,342.0,idrtl9,Vetto
H12003,44.48023,11.28208,54.0,idrtl9,Casalecchio tiro a volo
H12016,44.09098,12.19984,54.0,idrtl9,San Carlo
H12017,44.18521,11.70181,154.0,idrtl9,Strada Casale
H12018,44.51406,09.84219,354.0,idrtl9,Ostia Parmense
H00010,44.50405,11.00414,100.0,locali,Vignola
H00011,44.68370,10.29584,169.0,locali,Panocchia
H00001,44.60016,12.07738,-1.0,locali,Camse
H02281,44.33320,11.74953,68.0,locali,Imola Mario Neri
H02286,44.80806,10.27245,59.0,locali,San Pancrazio
H02291,44.43967,11.24125,275.0,locali,Sasso Marconi Arpa
H02980,44.81287,12.25037,1.0,locali,Volano
H02981,44.88481,10.87400,20.0,locali,Rolo
H00002,44.83906,11.28402,12.0,locali,Finale Emilia
H00003,44.85799,11.66134,4.0,locali,Malborghetto di Boara
H00004,44.16614,12.26798,25.0,locali,Martorano
H06257,44.36013,11.95861,15.0,locali,Granarolo Faentino
H06267,43.95249,12.53622,190.0,locali,Mulazzano
H00007,44.65378,11.62264,11.0,locali,San Pietro Capofiume
H00008,44.26093,11.32646,741.0,locali,Loiano
H14379,44.62028,12.23556,0.0,marefe,Bellocchio
H14381,44.79140,12.39532,0.0,marefe,Faro
H14382,44.79133,12.39514,0.0,marefe,Faro Lato Sacca
H14383,44.81005,12.34554,0.0,marefe,Gorino
H14384,44.66889,12.21806,0.0,marefe,Logonovo
H14385,44.79074,12.39236,0.0,marefe,Manufatto
H14386,44.81936,12.31165,0.0,marefe,Mitili
H14387,44.67667,12.24944,0.0,marefe,Porto Garibaldi
H14388,44.69056,12.18083,0.0,marefe,Ponte San Pietro
H14389,44.79447,12.35532,0.0,marefe,Venus
H14422,44.67667,12.24945,0.0,marefe,Porto Garibaldi Encoder
Hlat=4370686,43.70686,11.93136,,pluvio_dpcn,
Hlat=4371200,43.71200,11.83019,,pluvio_dpcn,
Hlat=4371214,43.71214,10.41244,,pluvio_dpcn,
Hlat=4371861,43.71861,11.03628,,pluvio_dpcn,
Hlat=4372330,43.72330,12.63690,,pluvio_dpcn,
Hlat=4372417,43.72417,10.94606,,pluvio_dpcn,
Hlat=4373158,43.73158,11.55725,,pluvio_dpcn,
Hlat=4373426,43.73426,11.78137,,pluvio_dpcn,
Hlat=4374022,43.74022,11.62050,,pluvio_dpcn,
Hlat=4374198,43.74198,10.89366,,pluvio_dpcn,
Hlat=4374540,43.74540,10.55375,,pluvio_dpcn,
Hlat=4375863,43.75863,12.35700,,pluvio_dpcn,
Hlat=4376014,43.76014,11.19375,,pluvio_dpcn,
Hlat=4376735,43.76735,11.04973,,pluvio_dpcn,
Hlat=4376771,43.76771,11.04835,,pluvio_dpcn,
Hlat=4376919,43.76919,10.38272,,pluvio_dpcn,
Hlat=4377158,43.77158,11.42306,,pluvio_dpcn,
Hlat=4377308,43.77308,11.09303,,pluvio_dpcn,
Hlat=4377406,43.77406,10.65692,,pluvio_dpcn,
Hlat=4377430,43.77430,11.18232,,pluvio_dpcn,
Hlat=4377583,43.77583,12.09222,,pluvio_dpcn,
Hlat=4377827,43.77827,10.58834,,pluvio_dpcn,
Hlat=4378000,43.78000,11.26000,,pluvio_dpcn,
Hlat=4378042,43.78042,10.39900,,pluvio_dpcn,
Hlat=4378058,43.78058,12.34062,,pluvio_dpcn,
